# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 0
90 0 0
100 0 0
110 0 0
120 0 0
130 0 0
140 0 0
150 0 0
160 0 0
170 1 0
180 1 0
190 1 0
200 1 0
210 2 0
220 2 0
230 2 0
240 5 0
250 6 0
260 6 0
270 6 0
280 7 0
290 7 0
300 7 0
310 7 0
320 7 0
330 7 0
340 7 0
350 7 1
360 7 2
370 7 2
380 7 2
390 7 2
400 7 2
410 8 2
420 8 2
430 8 2
440 9 2
450 9 2
460 10 2
470 10 2
480 10 2
490 11 2
500 11 2
510 13 2
520 15 2
530 15 2
540 15 2
550 15 2
560 17 2
570 18 2
580 18 2
590 18 2
600 18 3
610 19 3
620 19 3
630 19 4
640 19 4
650 19 5
660 19 5
670 19 5
680 19 5
690 20 5
700 20 5
710 20 5
720 20 6
730 20 6
740 20 6
750 20 6
760 20 6
770 20 6
780 20 6
790 20 6
800 20 6
810 20 7
820 20 7
830 20 8
840 20 8
850 20 8
860 20 8
870 20 8
880 20 8
890 20 8
900 20 8
910 20 8
920 20 8
930 20 8
940 21 8
950 22 8
960 23 8
970 23 8
980 23 8
990 23 8
1000 23 8
