# step Epot T p V 
0 -4685.3498 0.0 6516.2566 23823.124 
5000 -5204.6705 286.4569 -629.9587 23197.416 
10000 -5196.366 296.6628 -807.97 23039.4622 
15000 -5194.7836 293.8756 194.6649 22860.9372 
20000 -5166.8267 306.2737 -305.1669 22912.9383 
25000 -5211.2701 302.6462 182.1759 22672.0208 
30000 -5221.8265 295.9335 426.4143 22309.8804 
35000 -5244.173 307.6289 -21.5058 22262.2201 
40000 -5230.6521 306.6363 -573.8744 22886.2013 
45000 -5202.5008 305.3568 -732.4744 22989.5239 
50000 -5280.1252 302.4319 -558.5595 22611.7717 
55000 -5208.4105 296.4467 -547.5624 22740.333 
60000 -5145.3604 303.3797 117.8712 22830.0697 
65000 -5167.3386 287.7129 -57.1629 22833.915 
70000 -5241.0317 309.3384 -804.9336 22687.2679 
75000 -5217.5676 301.2219 377.4181 22397.7471 
80000 -5195.8773 309.2861 513.3393 22294.9534 
85000 -5196.0434 299.0595 -477.0225 22962.6892 
90000 -5192.5159 299.2716 -757.877 23043.7107 
95000 -5127.1782 285.3219 17.371 22713.7674 
100000 -5216.5531 298.3323 144.8372 22815.7144 
105000 -5213.1991 305.3879 -69.0557 22398.7766 
110000 -5252.0233 291.7169 -164.5432 22946.5185 
115000 -5229.6086 291.3532 -104.4204 22448.3652 
120000 -5209.6349 301.5318 -518.8961 23089.6263 
125000 -5167.4503 293.0589 -106.2856 22588.855 
130000 -5182.4506 319.1976 239.3456 22667.3203 
135000 -5151.7879 291.5012 -421.1635 22571.759 
140000 -5242.7786 297.5549 5.9944 22510.3899 
145000 -5231.689 290.1439 -33.4189 22414.0035 
150000 -5270.2723 300.7385 -396.8661 22376.6273 
155000 -5207.3179 303.8331 -11.9817 22734.464 
160000 -5264.3071 307.5601 -500.2828 22759.2214 
165000 -5247.2297 298.472 390.2372 22333.4478 
170000 -5208.358 297.6178 -305.4899 22611.274 
175000 -5220.8442 277.9043 -368.7766 22787.3447 
180000 -5259.6141 308.1335 -812.8295 22938.9699 
185000 -5196.8725 303.0542 449.9068 22625.3785 
190000 -5225.6307 304.4322 -265.5278 22400.2085 
195000 -5158.9822 303.9076 381.7809 22695.142 
200000 -5193.8919 298.0328 -634.862 22906.4108 
205000 -5236.9764 297.2826 74.0616 22366.5321 
210000 -5191.9748 297.6629 4.7195 22494.1563 
215000 -5260.1743 305.3454 -273.1965 22417.4986 
220000 -5169.4881 298.6893 -690.0492 22874.4153 
225000 -5205.8001 313.0767 -618.2476 22847.9099 
230000 -5253.7445 296.3074 591.4473 22302.7452 
235000 -5167.7917 291.6243 -257.0363 22571.9944 
240000 -5168.1179 286.4105 -433.8668 22579.9056 
245000 -5207.4078 292.0891 370.657 22523.5631 
250000 -5180.4889 296.1303 -351.2346 22889.2451 
255000 -5239.8722 293.0724 -438.727 22639.0818 
260000 -5145.8545 297.1912 -1175.2485 22869.8862 
265000 -5174.7997 293.0315 330.2735 22873.0156 
270000 -5230.8721 313.0679 -638.2548 22553.7118 
275000 -5225.2939 293.7071 266.8591 22812.0243 
280000 -5309.5472 301.8284 -13.969 22517.0671 
285000 -5242.1498 282.8252 -564.0139 22539.447 
290000 -5208.9089 288.1468 205.8183 22685.208 
295000 -5254.9399 309.946 -22.5544 22647.2489 
300000 -5216.47 300.321 -80.463 22537.0719 
305000 -5221.3199 284.5078 -320.2101 22466.4021 
310000 -5190.8281 286.8686 -136.2196 22426.5055 
315000 -5145.4603 308.3424 -72.1252 22475.0645 
320000 -5213.277 303.1009 -155.8374 22519.0893 
325000 -5215.9592 301.9311 -422.6523 22363.8713 
330000 -5249.4448 304.5546 186.0517 22505.0074 
335000 -5245.5129 293.5942 -297.0998 22576.9599 
340000 -5276.6771 289.4425 -895.2369 22422.3831 
345000 -5216.1518 309.0467 -336.4607 22523.2271 
350000 -5242.9761 292.8196 -170.7979 22418.3137 
355000 -5154.9353 292.7956 362.3837 22565.3721 
360000 -5188.8803 298.877 -535.7049 23179.0049 
365000 -5172.6908 298.6943 -121.4994 22605.7572 
370000 -5189.7166 302.2477 -959.9875 22690.5596 
375000 -5241.2758 306.7351 -855.4394 22551.6468 
380000 -5226.9757 301.9329 158.3723 22624.5944 
385000 -5214.8625 302.1653 -86.3606 22845.2584 
390000 -5118.3971 298.3496 55.8732 23113.5466 
395000 -5228.1826 306.2902 -422.3397 22592.4771 
400000 -5229.5016 301.3153 -753.3927 22805.4069 
405000 -5225.4307 286.4926 -415.2228 22640.0114 
410000 -5199.5963 291.833 -243.6607 22890.5276 
415000 -5137.6192 293.7233 -213.495 23016.8503 
420000 -5154.534 297.0597 -492.6166 22838.0145 
425000 -5216.7142 304.1804 517.8817 22364.8093 
430000 -5218.5922 292.7712 -754.2548 22815.3176 
435000 -5252.0199 301.1914 -550.5011 22504.6453 
440000 -5179.031 293.8615 -601.6703 22993.5756 
445000 -5248.7995 297.9476 -499.176 22613.7907 
450000 -5254.9234 294.2754 113.2488 22379.086 
455000 -5199.1866 306.2679 1063.9702 22265.9148 
460000 -5184.0665 304.8247 -635.8982 22810.643 
465000 -5198.6877 291.2364 238.5111 22636.5628 
470000 -5213.7672 290.3037 -488.3634 22549.6904 
475000 -5245.0896 290.311 -287.8198 22693.0117 
480000 -5176.7886 303.1289 -63.978 22550.3523 
485000 -5190.7855 304.8892 -389.144 22853.2701 
490000 -5198.2384 300.8611 -282.2072 22809.3216 
495000 -5228.701 297.8303 -18.8004 22426.7497 
500000 -5176.9365 291.7181 -91.3627 22934.7869 
