ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6262       775.2764         0.0000         0.0000         0.0000          -4685.3498         0.0000     -4685.3498     -4684.5917         0.0000           6516.2566      6528.3342     23823.1240      6516.2566      6528.3342
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5653.4861       448.8156         0.0000         0.0000       901.6833          -4302.9872       286.4569     -5204.6705     -4300.8064       277.2737           -629.9587      -601.0157     23197.4160      -194.9423      -195.1125
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5609.9543       413.5884         0.0000         0.0000       933.8088          -4262.5572       296.6628     -5196.3660     -4259.2759       290.1931           -807.9700      -773.6331     23039.4622      -150.4353      -150.3420
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5659.9704       465.1867         0.0000         0.0000       925.0353          -4269.7483       293.8756     -5194.7836     -4266.6464       294.7338            194.6649       214.1760     22860.9372      -140.1481      -140.1726
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5578.6876       411.8609         0.0000         0.0000       964.0608          -4202.7659       306.2737     -5166.8267     -4199.6113       303.9697           -305.1669      -286.2751     22912.9383      -154.6834      -154.7685
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5630.9222       419.6521         0.0000         0.0000       952.6425          -4258.6276       302.6462     -5211.2701     -4256.4264       300.6269            182.1759       203.0823     22672.0208      -180.4469      -180.4476
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5636.7949       414.9683         0.0000         0.0000       931.5129          -4290.3136       295.9335     -5221.8265     -4288.2177       297.9788            426.4143       437.6447     22309.8804      -171.7102      -171.6447
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5633.4852       389.3123         0.0000         0.0000       968.3268          -4275.8461       307.6289     -5244.1730     -4274.0275       299.1615            -21.5058       -10.8837     22262.2201      -217.9996      -217.9339
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5618.9066       388.2545         0.0000         0.0000       965.2022          -4265.4499       306.6363     -5230.6521     -4262.0240       297.4332           -573.8744      -555.0198     22886.2013      -307.0885      -307.0215
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5582.5124       380.0117         0.0000         0.0000       961.1750          -4241.3258       305.3568     -5202.5008     -4239.7507       297.5523           -732.4744      -704.1496     22989.5239      -242.0805      -241.9654
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5676.5042       396.3790         0.0000         0.0000       951.9681          -4328.1571       302.4319     -5280.1252     -4324.8266       300.0441           -558.5595      -532.7644     22611.7717      -327.5045      -327.6435
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5590.0166       381.6061         0.0000         0.0000       933.1284          -4275.2821       296.4467     -5208.4105     -4273.7353       299.5976           -547.5624      -530.7708     22740.3330      -251.5624      -251.5996
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5548.0208       402.6603         0.0000         0.0000       954.9513          -4190.4091       303.3797     -5145.3604     -4188.1042       302.1094            117.8712       142.5827     22830.0697      -220.1399      -220.2317
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5575.8444       408.5058         0.0000         0.0000       905.6371          -4261.7016       287.7129     -5167.3386     -4259.3590       304.8784            -57.1629       -41.1682     22833.9150      -223.8794      -223.8907
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5580.9405       339.9088         0.0000         0.0000       973.7078          -4267.3240       309.3384     -5241.0317     -4264.1039       296.8981           -804.9336      -782.7101     22687.2679      -250.7115      -250.9019
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5641.4629       423.8953         0.0000         0.0000       948.1595          -4269.4081       301.2219     -5217.5676     -4266.5465       299.3712            377.4181       393.2425     22397.7471      -200.3706      -200.3437
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5589.2278       393.3505         0.0000         0.0000       973.5432          -4222.3340       309.2861     -5195.8773     -4218.4963       303.2970            513.3393       533.9154     22294.9534      -214.7536      -214.7056
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5566.6145       370.5712         0.0000         0.0000       941.3528          -4254.6906       299.0595     -5196.0434     -4252.5255       301.7454           -477.0225      -462.1860     22962.6892      -233.1727      -233.2183
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5572.4439       379.9280         0.0000         0.0000       942.0203          -4250.4956       299.2716     -5192.5159     -4249.3135       297.5005           -757.8770      -729.0079     23043.7107      -215.5858      -215.5024
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5510.6874       383.5093         0.0000         0.0000       898.1109          -4229.0673       285.3219     -5127.1782     -4227.4831       301.0653             17.3710        36.8046     22713.7674      -211.1804      -211.1391
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5655.4329       438.8798         0.0000         0.0000       939.0636          -4277.4894       298.3323     -5216.5531     -4277.5436       299.1646            144.8372       174.3544     22815.7144      -245.2137      -245.3219
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5595.0820       381.8829         0.0000         0.0000       961.2727          -4251.9263       305.3879     -5213.1991     -4248.9321       300.8908            -69.0557       -49.1962     22398.7766      -207.9686      -208.0667
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5698.3411       446.3178         0.0000         0.0000       918.2403          -4333.7830       291.7169     -5252.0233     -4331.7463       296.5105           -164.5432      -145.2322     22946.5185      -232.4036      -232.6306
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5611.0967       381.4881         0.0000         0.0000       917.0956          -4312.5131       291.3532     -5229.6086     -4311.0223       296.6728           -104.4204       -86.9892     22448.3652      -272.2458      -272.2150
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5603.9223       394.2874         0.0000         0.0000       949.1349          -4260.5000       301.5318     -5209.6349     -4258.7313       297.3318           -518.8961      -479.7663     23089.6263      -192.8502      -192.7638
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5553.2526       385.8024         0.0000         0.0000       922.4646          -4244.9857       293.0589     -5167.4503     -4242.2840       297.7559           -106.2856       -93.2938     22588.8550      -136.5498      -136.5677
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5613.6047       431.1540         0.0000         0.0000      1004.7416          -4177.7091       319.1976     -5182.4506     -4175.7234       302.9943            239.3456       249.1252     22667.3203      -213.3262      -213.3991
ENERGY:  135000         0.0000         0.0000         0.0000         0.0000          -5495.2141       343.4261         0.0000         0.0000       917.5613          -4234.2266       291.5012     -5151.7879     -4232.1807       304.4570           -421.1635      -396.2218     22571.7590      -205.1581      -205.2798
ENERGY:  140000         0.0000         0.0000         0.0000         0.0000          -5659.2269       416.4483         0.0000         0.0000       936.6166          -4306.1620       297.5549     -5242.7786     -4304.1657       300.9647              5.9944        31.0509     22510.3899      -225.9408      -226.0432
ENERGY:  145000         0.0000         0.0000         0.0000         0.0000          -5625.4174       393.7284         0.0000         0.0000       913.2892          -4318.3998       290.1439     -5231.6890     -4316.6253       299.0332            -33.4189        -6.1256     22414.0035      -177.0915      -177.1429
ENERGY:  150000         0.0000         0.0000         0.0000         0.0000          -5648.2461       377.9738         0.0000         0.0000       946.6379          -4323.6344       300.7385     -5270.2723     -4322.1036       295.4369           -396.8661      -385.7410     22376.6273      -127.9121      -128.0409
ENERGY:  155000         0.0000         0.0000         0.0000         0.0000          -5628.4609       421.1430         0.0000         0.0000       956.3786          -4250.9392       303.8331     -5207.3179     -4248.7148       296.8333            -11.9817         5.6363     22734.4640      -251.5392      -251.5728
ENERGY:  160000         0.0000         0.0000         0.0000         0.0000          -5637.4234       373.1163         0.0000         0.0000       968.1101          -4296.1969       307.5601     -5264.3071     -4293.2217       300.2506           -500.2828      -483.2652     22759.2214      -199.1608      -199.3281
ENERGY:  165000         0.0000         0.0000         0.0000         0.0000          -5686.4696       439.2399         0.0000         0.0000       939.5036          -4307.7261       298.4720     -5247.2297     -4305.6313       296.5927            390.2372       419.7285     22333.4478      -251.4295      -251.6703
ENERGY:  170000         0.0000         0.0000         0.0000         0.0000          -5601.5949       393.2369         0.0000         0.0000       936.8145          -4271.5434       297.6178     -5208.3580     -4267.1563       300.4486           -305.4899      -289.6776     22611.2740      -250.0175      -250.0442
ENERGY:  175000         0.0000         0.0000         0.0000         0.0000          -5629.3091       408.4650         0.0000         0.0000       874.7622          -4346.0820       277.9043     -5220.8442     -4343.8116       299.7605           -368.7766      -349.2657     22787.3447      -113.4222      -113.2715
ENERGY:  180000         0.0000         0.0000         0.0000         0.0000          -5632.7686       373.1545         0.0000         0.0000       969.9152          -4289.6990       308.1335     -5259.6141     -4286.7670       295.5870           -812.8295      -794.4291     22938.9699      -269.1095      -269.1603
ENERGY:  185000         0.0000         0.0000         0.0000         0.0000          -5629.5030       432.6305         0.0000         0.0000       953.9270          -4242.9455       303.0542     -5196.8725     -4241.1276       299.9241            449.9068       482.7231     22625.3785      -256.6731      -256.5282
ENERGY:  190000         0.0000         0.0000         0.0000         0.0000          -5607.3182       381.6875         0.0000         0.0000       958.2643          -4267.3664       304.4322     -5225.6307     -4265.6939       304.1644           -265.5278      -246.3022     22400.2085      -274.4890      -274.4458
ENERGY:  195000         0.0000         0.0000         0.0000         0.0000          -5575.1046       416.1224         0.0000         0.0000       956.6132          -4202.3690       303.9076     -5158.9822     -4200.2877       298.6324            381.7809       398.5065     22695.1420      -191.4399      -191.5737
ENERGY:  200000         0.0000         0.0000         0.0000         0.0000          -5562.8142       368.9223         0.0000         0.0000       938.1209          -4255.7711       298.0328     -5193.8919     -4253.9968       301.3224           -634.8620      -623.3446     22906.4108      -212.1964      -212.1167
ENERGY:  205000         0.0000         0.0000         0.0000         0.0000          -5642.6593       405.6829         0.0000         0.0000       935.7597          -4301.2166       297.2826     -5236.9764     -4298.3032       295.6868             74.0616       104.7620     22366.5321      -245.6282      -245.6455
