# frame +z -z 
10 0 0
20 0 0
30 0 4
40 0 15
50 0 27
60 0 38
70 0 50
80 0 61
90 0 72
100 0 84
110 0 95
120 0 106
130 0 116
140 0 128
150 0 140
160 0 153
170 0 166
180 0 179
190 0 186
200 0 198
210 0 207
220 0 219
230 0 229
240 0 239
250 0 249
260 0 262
270 0 273
280 0 283
290 0 295
300 0 308
310 0 321
320 0 332
330 0 342
340 0 352
350 0 364
360 0 377
370 0 388
380 0 401
390 0 413
400 0 423
410 0 431
420 0 442
430 0 455
440 0 464
450 0 476
460 0 481
470 0 490
480 0 500
490 0 510
500 0 521
510 0 531
520 0 542
530 0 556
540 0 567
550 0 578
560 0 590
570 0 601
580 0 610
590 0 627
600 0 639
